,Rank,Name,Net Worth,Age,Country/Territory,Source,Industry
150,151,Liu Hanyuan,$11.4 B,59,China,Agribusiness,Food & Beverage
151,151,Michael Rubin,$11.4 B,50,United States,Online retail,Fashion & Retail
152,153,Israel Englander,$11.3 B,74,United States,Hedge funds,Finance & Investments
153,153,Viatcheslav Kantor,$11.3 B,69,Russia,"Fertilizer, real estate",Manufacturing
154,153,Anthony Pratt,$11.3 B,62,Australia,Manufacturing,Manufacturing
155,153,Mikhail Prokhorov,$11.3 B,57,Russia,Investments,Finance & Investments
156,157,Giorgio Armani,$11.1 B,88,Italy,Luxury goods,Fashion & Retail
157,157,Johann Rupert & family,$11.1 B,72,South Africa,Luxury goods,Fashion & Retail
158,159,Gong Hongjia & family,$11 B,58,Hong Kong,Video surveillance,Finance & Investments
159,159,Zhang Zhidong,$11 B,51,China,Internet media,Technology
160,161,Philip Anschutz,$10.9 B,83,United States,"Energy, sports, entertainment",Finance & Investments
161,161,Judy Love & family,$10.9 B,85,United States,Gas stations,Fashion & Retail
162,161,Ricardo Salinas Pliego & family,$10.9 B,67,Mexico,"Retail, media",Fashion & Retail
163,164,Donald Newhouse,$10.7 B,93,United States,Media,Media & Entertainment
164,165,Robert Kraft,$10.6 B,81,United States,"Manufacturing, New England Patriots",Sports
165,165,Marcel Herrmann Telles,$10.6 B,73,Brazil,Beer,Food & Beverage
166,167,Suleiman Kerimov & family,$10.5 B,57,Russia,Gold,Finance & Investments
167,167,Chris Xu,$10.5 B,39,China,E-commerce,Fashion & Retail
168,167,Changpeng Zhao,$10.5 B,45,Canada,Cryptocurrency exchange,Finance & Investments
169,170,Andrew Beal,$10.3 B,70,United States,"Banks, real estate",Finance & Investments
170,171,Mike Cannon-Brookes,$10.2 B,43,Australia,Software,Technology
171,171,Carl Cook,$10.2 B,60,United States,Medical devices,Healthcare
172,171,David Duffield,$10.2 B,82,United States,Business software,Technology
173,171,Jeffery Hildebrand,$10.2 B,64,United States,Oil,Energy
174,171,Viktor Rashnikov,$10.2 B,74,Russia,Steel,Manufacturing
175,171,Eduardo Saverin,$10.2 B,41,Brazil,Facebook,Technology
176,171,Georg Schaeffler,$10.2 B,58,Germany,Auto parts,Automotive
177,171,Christy Walton,$10.2 B,74,United States,Walmart,Fashion & Retail
178,179,Scott Farquhar,$10.1 B,43,Australia,Software,Technology
179,179,Quek Leng Chan,$10.1 B,81,Malaysia,"Banking, property",Diversified
180,179,Wu Yajun,$10.1 B,59,China,Real estate,Real Estate
181,182,Autry Stephens,$10 B,85,United States,Oil,Energy
182,183,Liu Yongxing,$9.9 B,74,China,Diversified,Service
183,184,Vinod Adani,$9.8 B,74,Cyprus,"Infrastructure, commodities",Diversified
184,184,Nicolas Puech,$9.8 B,80,France,Hermes,Fashion & Retail
185,184,"Jacques Saadé, Jr.",$9.8 B,51,France,Shipping,Logistics
186,184,Rodolphe Saadé,$9.8 B,53,France,Shipping,Logistics
187,184,Tanya Saadé Zeenny,$9.8 B,55,France,Shipping,Logistics
188,184,Melker Schorling & family,$9.8 B,75,Sweden,Investments,Finance & Investments
189,190,Andrei Guriev & family,$9.7 B,63,Russia,Fertilizers,Manufacturing
190,190,Michael Kim,$9.7 B,59,United States,Private equity,Finance & Investments
191,190,Lei Jun,$9.7 B,53,China,Smartphones,Technology
192,190,Friedhelm Loh,$9.7 B,76,Germany,Manufacturing,Manufacturing
193,190,Sun Piaoyang,$9.7 B,64,China,Pharmaceuticals,Healthcare
194,195,Rick Cohen & family,$9.6 B,70,United States,Warehouse automation,Technology
195,195,Jin Baofang,$9.6 B,70,China,Solar panels,Energy
196,195,Luo Liguo & family,$9.6 B,67,China,Chemicals,Manufacturing
197,195,Marijke Mars,$9.6 B,58,United States,"Candy, pet food",Food & Beverage
198,195,Pamela Mars,$9.6 B,62,United States,"Candy, pet food",Food & Beverage
199,195,Valerie Mars,$9.6 B,64,United States,"Candy, pet food",Food & Beverage
